ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	latency	cort	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1002225	1570	AMGO1570	47.742	-122.984	34.13767	617	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-07	m				8.3	0.5		1	12.6	4	1997	129		pre-breeding		pre-breeding
1002226	1571	AMGO1571	47.742	-122.984	34.13767	703	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-10	m				9.7	2		1	7.2	4	1997	129		pre-breeding		pre-breeding
1002227	1572	AMGO1572	47.742	-122.984	34.13767	710	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-11	m				9.8	0		2	6.5	4	1997	129		pre-breeding		pre-breeding
1002228	1573	AMGO1573	47.742	-122.984	34.13767	626	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-08	f				10.6	0		1	3.9	4	1997	129		pre-breeding		pre-breeding
1002229	1574	AMGO1574	47.742	-122.984	34.13767	633	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-09	m				11.2	0		1	5	4	1997	129		pre-breeding		pre-breeding
1002230	1575	AMGO1575	47.742	-122.984	34.13767	650	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-14	m				11.3	0		0.5	3.5	4	1997	129		pre-breeding		pre-breeding
1002231	1576	AMGO1576	47.742	-122.984	34.13767	724	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-13	f				11.5	2.5		1	4.9	4	1997	129		pre-breeding		pre-breeding
1002232	1577	AMGO1577	47.742	-122.984	34.13767	722	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-12	m				12.3	1		0.5	5.7	4	1997	129		pre-breeding		pre-breeding
1001017	1941	APAP1941	19.8	-155.33333	1948.8951	637	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				16.4	2.5			19.8	1	1993	35				
1001021	1942	APAP1942	19.8211	-155.3306	1828.80366	691	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				14.3	1.5		2	7.84	4	1993	37		pre-breeding		pre-breeding
1001022	1943	APAP1943	19.8211	-155.3306	1828.80366	629	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		15.2	2		6	26.43	4	1993	37		pre-breeding		pre-breeding
1001023	1944	APAP1944	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m								16.36	1	1993	37				
1001038	1945	APAP1945	19.8211	-155.3306	1828.80366	656	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN	APAP	m		AHY		16	2		1	12.65	1	1993	38		pre-breeding	pre-breeding	
1001039	1946	APAP1946	19.8211	-155.3306	1828.80366	809	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		SY	1	13.8	3		2	6.31	4	1993	39		pre-breeding		pre-breeding
