ind_id	new_id	tax_id	lat	long	alt	t_cap	com_nm	alpha	genus	spp	sub_spp	spp_lat	alpha6	ind_id2	sex	pos_sex	age_clas	age_yr	mass	fat	inc	tb1	tb2	tb3	tb4	tb5	tb6	tb7	cort1	cort2	cort3	cort4	cort5	cort6	cort7	count_ss	year	doy	season	brd_stg	pos_lh_stg	lh_stg
1002230	1575	AMGO1575	47.742	-122.984	34.13767	650	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-14	m				11.3	0		0.5	5	20	60				3.5	15.7	31.6	60.1				4	1997	129		pre-breeding		pre-breeding
1002231	1576	AMGO1576	47.742	-122.984	34.13767	724	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-13	f				11.5	2.5		1	5	20	60				4.9	4.4	27.4	14.7				4	1997	129		pre-breeding		pre-breeding
1002232	1577	AMGO1577	47.742	-122.984	34.13767	722	American Goldfinch	AMGO	Carduelis	tristis		Carduelis tristis 	CARTRI	AMGO-12	m				12.3	1		0.5	5	20	60				5.7	13.6	17.7	36.3				4	1997	129		pre-breeding		pre-breeding
1001017	1941	APAP1941	19.8	-155.33333	1948.8951	637	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				16.4	2.5									19.8							1	1993	35				
1001021	1942	APAP1942	19.8211	-155.3306	1828.80366	691	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m				14.3	1.5		2	5	20	60				7.84	11	18.04	11.18				4	1993	37		pre-breeding		pre-breeding
1001022	1943	APAP1943	19.8211	-155.3306	1828.80366	629	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		15.2	2		6	13	30	60				26.43	29.85	35.83	37.01				4	1993	37		pre-breeding		pre-breeding
1001023	1944	APAP1944	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m														16.36							1	1993	37				
1001038	1945	APAP1945	19.8211	-155.3306	1828.80366	656	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN	APAP	m		AHY		16	2		1							12.65							1	1993	38		pre-breeding	pre-breeding	
1001039	1946	APAP1946	19.8211	-155.3306	1828.80366	809	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		SY	1	13.8	3		2	9	20	60				6.31	21.79	18.06	50.69				4	1993	39		pre-breeding		pre-breeding
1001040	1947	APAP1947	19.8211	-155.3306	1828.80366	794	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		ahy		17.1	3.5		3	5	25	60				11.42	22.69	32.58	38.21				4	1993	39		pre-breeding		pre-breeding
1001050	1948	APAP1948	19.8211	-155.3306	1828.80366	565	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		AHY		14.6	3.5		5	10	30	60				14.62	29.57	31.47	61.75				4	1993	42		pre-breeding		pre-breeding
1001052	1949	APAP1949	19.8211	-155.3306	1828.80366	819	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		ahy		16.9	3		3	5	25	60				10.48	14.82	41.07	31.24				4	1993	42		pre-breeding		pre-breeding
1001053	1950	APAP1950	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m							1							22.98							1	1993	42				
1001057	1951	APAP1951	19.8211	-155.3306	1828.80366	725	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		SY	1	14.5	2.5		3	5	10	20	60			5.83	11.16	46.24	39.73	53.78			5	1993	45		pre-breeding	pre-breeding	
1001066	1952	APAP1952	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f														9.98							1	1993	46				
1001075	1953	APAP1953	19.93333	-155.21667	473.96495	703	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		ahy		13.5	2.5		5	10	20	60				16.28	13.86	32.89	38.25				4	1993	49				
1001076	1954	APAP1954	19.93333	-155.21667	473.96495		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m														21.39							1	1993	49				
1001077	1955	APAP1955	19.93333	-155.21667	473.96495		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f														11.8							1	1993	49				
1001097	1956	APAP1956	19.8211	-155.3306	1828.80366	840	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		15.2	3		1							12.58							1	1993	58				
1001098	1957	APAP1957	19.8211	-155.3306	1828.80366	912	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		AHY		15.2	3.5		1							12.82							1	1993	58				
1001106	1958	APAP1958	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f														8.35							1	1993	59				
1001107	1959	APAP1959	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m														22.06							1	1993	59				
1001108	1960	APAP1960	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m														22.55							1	1993	59				
1001131	1961	APAP1961	19.8211	-155.3306	1828.80366	771	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		f		SY	1	14.4	3		0.5							4.93							1	1993	60				
1001132	1962	APAP1962	19.8211	-155.3306	1828.80366	657	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		SY	1	15.3	2.5		3	5	25	60				18.37	22.99	25.03	20.95				4	1993	60				
1001133	1963	APAP1963	19.8211	-155.3306	1828.80366	613	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		15.6	3		3	5	22	60				10.54	15.96	31.97	28.88				4	1993	60				
1001134	1964	APAP1964	19.8211	-155.3306	1828.80366	757	Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m		AHY		16.4	2									15.61							1	1993	60				
1001135	1965	APAP1965	19.8211	-155.3306	1828.80366		Apapane	APAP	Himatione	sanguinea		Himatione sanguinea 	HIMSAN		m														12.93							1	1993	60				
